n_items,rep,time,theta_coverage,beta_coverage,n_participants,simulation,model,theta_correlation,beta_correlation,condition
20,1,223.73396492004397,1,1,100,No theta,Theta,NA,0.988976744159606,No theta sim
20,2,170.53311896324158,1,1,100,No theta,Theta,NA,0.991657164034163,No theta sim
20,3,236.54173803329468,1,1,100,No theta,Theta,NA,0.9893558454864804,No theta sim
20,4,191.79678010940552,1,1,100,No theta,Theta,NA,0.9881813424291505,No theta sim
20,5,235.7976999282837,1,1,100,No theta,Theta,NA,0.981322952261537,No theta sim
20,6,255.22756600379944,1,1,100,No theta,Theta,NA,0.9504784121751888,No theta sim
20,7,172.36201405525208,1,1,100,No theta,Theta,NA,0.991677349698554,No theta sim
20,8,178.43776297569275,1,0.65,100,No theta,Theta,NA,0.9760584104025536,No theta sim
20,9,214.7768909931183,1,1,100,No theta,Theta,NA,0.9782233823740848,No theta sim
20,10,171.4790439605713,1,1,100,No theta,Theta,NA,0.9887686582571746,No theta sim
50,1,484.4915709495544,1,1,100,No theta,Theta,NA,0.9889609721860748,No theta sim
50,2,404.5668058395386,1,0.98,100,No theta,Theta,NA,0.9788416299301776,No theta sim
50,3,394.9093868732453,1,1,100,No theta,Theta,NA,0.98909267589608,No theta sim
50,4,420.3438079357147,1,0.98,100,No theta,Theta,NA,0.9812886961533848,No theta sim
50,5,412.0106678009033,1,1,100,No theta,Theta,NA,0.9829722815776232,No theta sim
50,6,453.6575708389282,1,1,100,No theta,Theta,NA,0.9804124198318678,No theta sim
50,7,421.40148305892944,1,1,100,No theta,Theta,NA,0.976617555550147,No theta sim
50,8,401.5417699813843,1,1,100,No theta,Theta,NA,0.9878939864545688,No theta sim
50,9,396.9548201560974,1,0.98,100,No theta,Theta,NA,0.9879545038294836,No theta sim
50,10,379.1124618053436,1,0.9,100,No theta,Theta,NA,0.9758987217335224,No theta sim
600,1,689.1412889957428,1,0.9546,100,No theta,Theta,NA,0.923338392127834,No theta sim
600,2,734.3340580463409,1,0.9286,100,No theta,Theta,NA,0.9063791975265104,No theta sim
600,3,723.70627617836,1,0.9482,100,No theta,Theta,NA,0.9238007738509662,No theta sim
600,4,672.8534750938416,1,0.964,100,No theta,Theta,NA,0.9212267868954526,No theta sim
600,5,673.0215110778809,1,0.9437,100,No theta,Theta,NA,0.9144621485414968,No theta sim
600,6,655.5252270698547,1,0.9639,100,No theta,Theta,NA,0.9308623788211332,No theta sim
600,7,672.126993894577,1,0.9663,100,No theta,Theta,NA,0.9318155077407768,No theta sim
600,8,616.6814961433411,1,0.9214,100,No theta,Theta,NA,0.9209301032425692,No theta sim
600,9,635.3896210193634,1,0.9523,100,No theta,Theta,NA,0.9091129074336344,No theta sim
600,10,729.3279790878296,1,0.9649,100,No theta,Theta,NA,0.9319632793355476,No theta sim
300,1,792.8281080722809,1,0.9714,100,No theta,Theta,NA,0.957647374276282,No theta sim
300,2,789.9871399402618,1,0.9462,100,No theta,Theta,NA,0.9485815264425458,No theta sim
300,3,795.6330089569092,1,0.9504,100,No theta,Theta,NA,0.9542511525891652,No theta sim
300,4,790.0287251472473,1,0.9602,100,No theta,Theta,NA,0.9526703101334774,No theta sim
300,5,769.5847210884094,1,0.9388,100,No theta,Theta,NA,0.9484626605452976,No theta sim
300,6,755.9721570014954,1,0.9715,100,No theta,Theta,NA,0.96323594116682,No theta sim
300,7,768.0879578590393,1,0.946,100,No theta,Theta,NA,0.9559716120812928,No theta sim
300,8,742.5871319770813,1,0.9313,100,No theta,Theta,NA,0.9450429472544573,No theta sim
300,9,698.2136402130127,1,0.9122,100,No theta,Theta,NA,0.9338554956854722,No theta sim
300,10,789.9401140213013,1,0.9661,100,No theta,Theta,NA,0.9591898722423186,No theta sim
20,1,113.0518970489502,NA,0.9,100,Theta,No theta,NA,0.989506404152582,No theta model
20,2,92.93350982666016,NA,0.45,100,Theta,No theta,NA,0.9921134887571308,No theta model
20,3,92.86548900604248,NA,0.65,100,Theta,No theta,NA,0.9797233632713476,No theta model
20,4,97.6257119178772,NA,0.55,100,Theta,No theta,NA,0.9898433848562987,No theta model
20,5,87.97521591186523,NA,0.65,100,Theta,No theta,NA,0.9851741005764176,No theta model
20,6,93.76587009429932,NA,1,100,Theta,No theta,NA,0.992418276186876,No theta model
20,7,103.47459292411804,NA,0.85,100,Theta,No theta,NA,0.9872296367312792,No theta model
20,8,100.3724992275238,NA,0.65,100,Theta,No theta,NA,0.9914354011944964,No theta model
20,9,97.8525891304016,NA,0.65,100,Theta,No theta,NA,0.9895752781685818,No theta model
20,10,116.07357215881348,NA,0.75,100,Theta,No theta,NA,0.9821196307887036,No theta model
50,1,197.5720329284668,NA,0.52,100,Theta,No theta,NA,0.9836430468251854,No theta model
50,2,204.6196341514587,NA,0.6,100,Theta,No theta,NA,0.9847254926749428,No theta model
50,3,242.97812294960025,NA,0.66,100,Theta,No theta,NA,0.9855395942534758,No theta model
50,4,231.00966095924375,NA,0.64,100,Theta,No theta,NA,0.9749093152145408,No theta model
50,5,246.46227192878723,NA,0.66,100,Theta,No theta,NA,0.9815438355470936,No theta model
50,6,223.55270886421204,NA,0.56,100,Theta,No theta,NA,0.978678786571279,No theta model
50,7,224.53727197647095,NA,0.82,100,Theta,No theta,NA,0.9870747437561,No theta model
50,8,200.79032397270203,NA,0.64,100,Theta,No theta,NA,0.9769536450192574,No theta model
50,9,248.8036470413208,NA,0.74,100,Theta,No theta,NA,0.9951935997931812,No theta model
50,10,224.82058000564575,NA,0.56,100,Theta,No theta,NA,0.9887960617767614,No theta model
600,1,448.90901279449463,NA,0.7721,100,Theta,No theta,NA,0.9188098281926216,No theta model
600,2,439.10268902778625,NA,0.7556,100,Theta,No theta,NA,0.908252536148094,No theta model
600,3,456.2198610305786,NA,0.7797,100,Theta,No theta,NA,0.9047062359876848,No theta model
600,4,450.31787514686584,NA,0.7879,100,Theta,No theta,NA,0.9107050381313752,No theta model
600,5,439.9095640182495,NA,0.7563,100,Theta,No theta,NA,0.9086923043428706,No theta model
600,6,450.24661016464233,NA,0.8175,100,Theta,No theta,NA,0.9079650367235164,No theta model
600,7,441.06117701530457,NA,0.7476,100,Theta,No theta,NA,0.8994381591071884,No theta model
600,8,463.32476687431335,NA,0.7992,100,Theta,No theta,NA,0.8980535377580431,No theta model
600,9,435.0894429683686,NA,0.7427,100,Theta,No theta,NA,0.8948447817095317,No theta model
600,10,451.8758251667022,NA,0.7481,100,Theta,No theta,NA,0.8959971489998998,No theta model
300,1,414.2051751613617,NA,0.6805,100,Theta,No theta,NA,0.9558145740017822,No theta model
300,2,408.3103630542755,NA,0.8342,100,Theta,No theta,NA,0.937626044386352,No theta model
300,3,419.0676190853119,NA,0.7608,100,Theta,No theta,NA,0.9494533506850724,No theta model
300,4,404.51353001594543,NA,0.7821,100,Theta,No theta,NA,0.956541405022291,No theta model
300,5,406.97336888313293,NA,0.7851,100,Theta,No theta,NA,0.949144461489256,No theta model
300,6,405.8138151168823,NA,0.7524,100,Theta,No theta,NA,0.9550010906940752,No theta model
300,7,410.94668316841125,NA,0.7505,100,Theta,No theta,NA,0.9369588304629888,No theta model
300,8,412.6704750061035,NA,0.7473,100,Theta,No theta,NA,0.9614415851401104,No theta model
300,9,402.59970808029175,NA,0.7642,100,Theta,No theta,NA,0.9461536398764078,No theta model
300,10,410.22856187820435,NA,0.7301,100,Theta,No theta,NA,0.9467481911328872,No theta model
20,1,152.09266710281372,0.94,0.95,100,Skewed theta,Normal theta,0.9518255482839598,0.990503804503797,Skewed theta
20,2,168.8841199874878,0.87,0.65,100,Skewed theta,Normal theta,0.932566363746191,0.9873736376365644,Skewed theta
20,3,140.15314197540283,0.92,1,100,Skewed theta,Normal theta,0.9161954068385066,0.9928941182065376,Skewed theta
20,4,139.15374398231506,0.98,0.95,100,Skewed theta,Normal theta,0.9325389187671608,0.982466166610522,Skewed theta
20,5,152.6166169643402,0.95,1,100,Skewed theta,Normal theta,0.9361290551274046,0.985043990734239,Skewed theta
20,6,161.72854495048523,0.92,0.9,100,Skewed theta,Normal theta,0.9354561144368148,0.9841310444538328,Skewed theta
20,7,148.35882997512817,0.96,1,100,Skewed theta,Normal theta,0.9423503559621912,0.9861624227717752,Skewed theta
20,8,136.39863085746765,0.95,0.65,100,Skewed theta,Normal theta,0.8988294616919379,0.9856929520067628,Skewed theta
20,9,137.86315608024597,0.98,1,100,Skewed theta,Normal theta,0.9526533511845244,0.9919444285675164,Skewed theta
20,10,152.96287488937378,0.94,1,100,Skewed theta,Normal theta,0.9205123978985504,0.9750959009127274,Skewed theta
50,1,319.396203994751,0.92,0.92,100,Skewed theta,Normal theta,0.9641290473438184,0.9840831959771136,Skewed theta
50,2,321.25839018821716,0.96,1,100,Skewed theta,Normal theta,0.9723251368799076,0.9919264279976582,Skewed theta
50,3,323.6027431488037,0.97,1,100,Skewed theta,Normal theta,0.9814816075621028,0.9887448635888008,Skewed theta
50,4,333.62382793426514,0.93,0.92,100,Skewed theta,Normal theta,0.9658932737589186,0.9818736497090708,Skewed theta
50,5,321.49992990493774,0.96,0.88,100,Skewed theta,Normal theta,0.9753960721554636,0.9897908087737638,Skewed theta
50,6,311.1848409175873,0.98,0.94,100,Skewed theta,Normal theta,0.9748322725788034,0.9863481083939044,Skewed theta
50,7,309.8907561302185,0.97,0.96,100,Skewed theta,Normal theta,0.9780189102684778,0.9851641615387452,Skewed theta
50,8,318.99173498153687,0.99,0.58,100,Skewed theta,Normal theta,0.9810942747240096,0.981455933035213,Skewed theta
50,9,339.0694909095764,0.93,0.92,100,Skewed theta,Normal theta,0.971544825687427,0.9897257467489804,Skewed theta
50,10,333.635537147522,0.97,0.96,100,Skewed theta,Normal theta,0.9719914978344334,0.9830130212971524,Skewed theta
600,1,685.1756069660187,0.94,0.9466,100,Skewed theta,Normal theta,0.9872207667149188,0.9182590355370632,Skewed theta
600,2,718.8248019218445,0.98,0.9596,100,Skewed theta,Normal theta,0.9840317767947216,0.932385517496592,Skewed theta
600,3,737.6728749275208,0.93,0.951,100,Skewed theta,Normal theta,0.9856474902407016,0.936319208930878,Skewed theta
600,4,740.3862400054932,0.98,0.939,100,Skewed theta,Normal theta,0.9826447035160476,0.9291028399840732,Skewed theta
600,5,729.8303229808807,0.92,0.9375,100,Skewed theta,Normal theta,0.9825272287795164,0.9248930509816512,Skewed theta
600,6,709.6745319366455,0.97,0.9428,100,Skewed theta,Normal theta,0.9879897838378356,0.91934452489216,Skewed theta
600,7,721.9891390800476,0.98,0.9566,100,Skewed theta,Normal theta,0.9866414734837784,0.9195750133764048,Skewed theta
600,8,675.0179810523987,0.92,0.9511,100,Skewed theta,Normal theta,0.9841740468002546,0.9157827392546102,Skewed theta
600,9,721.0043239593506,0.99,0.9527,100,Skewed theta,Normal theta,0.9836667393065588,0.92472785357439935,Skewed theta
600,10,717.0964360237122,0.98,0.9535,100,Skewed theta,Normal theta,0.9885317351465196,0.9368617556772312,Skewed theta
300,1,660.6429860591888,0.93,0.9197,100,Skewed theta,Normal theta,0.9832506541807172,0.9547625655907774,Skewed theta
300,2,706.2305638790131,0.98,0.9572,100,Skewed theta,Normal theta,0.988871816326161,0.957711630659414,Skewed theta
300,3,687.124419927597,0.97,0.9327,100,Skewed theta,Normal theta,0.9868086686452234,0.9520822359980372,Skewed theta
300,4,680.2458078861237,0.97,0.947,100,Skewed theta,Normal theta,0.9867387868554868,0.9515984556456832,Skewed theta
300,5,676.259752035141,0.99,0.9527,100,Skewed theta,Normal theta,0.984422949054112,0.9553852524554942,Skewed theta
300,6,657.6330199241638,0.99,0.9411,100,Skewed theta,Normal theta,0.9846659625261692,0.9591895635715612,Skewed theta
300,7,654.7908170223236,0.96,0.9558,100,Skewed theta,Normal theta,0.9857722743368108,0.956437309980929,Skewed theta
300,8,663.7344880104065,0.97,0.9094,100,Skewed theta,Normal theta,0.984903376276784,0.9507919003919568,Skewed theta
300,9,672.4072198867798,0.97,0.9725,100,Skewed theta,Normal theta,0.98711427955819,0.9579388723778032,Skewed theta
300,10,664.6056959629059,0.99,0.9418,100,Skewed theta,Normal theta,0.9871499053572924,0.952076453655245,Skewed theta
20,1,175.2219250202179,0.97,1,100,Skewed beta,Normal beta,0.9303387183034748,0.9887453973341632,Skewed beta
20,2,181.9836461544037,0.93,0.95,100,Skewed beta,Normal beta,0.9176413017696288,0.9849839857387426,Skewed beta
20,3,154.1844301223755,0.96,1,100,Skewed beta,Normal beta,0.940644745849573,0.9823768320837024,Skewed beta
20,4,148.14432191848755,0.96,1,100,Skewed beta,Normal beta,0.9289656499448524,0.98148955749736,Skewed beta
20,5,148.0093219280243,0.95,1,100,Skewed beta,Normal beta,0.9422637962295064,0.995057899083437,Skewed beta
20,6,168.67532515525818,0.98,1,100,Skewed beta,Normal beta,0.9485640283315182,0.9942911604614236,Skewed beta
20,7,151.43441486358645,0.95,1,100,Skewed beta,Normal beta,0.9337297994824948,0.98352004785900915,Skewed beta
20,8,197.11866188049316,0.94,1,100,Skewed beta,Normal beta,0.9424353524261538,0.9925732992059912,Skewed beta
20,9,134.92104411125183,0.94,0.95,100,Skewed beta,Normal beta,0.9287582522130984,0.9846631066272084,Skewed beta
20,10,138.55991983413696,0.98,0.9,100,Skewed beta,Normal beta,0.9445835310523464,0.9767165351990604,Skewed beta
50,1,336.43421816825867,0.98,0.84,100,Skewed beta,Normal beta,0.9785387206824434,0.991168380175107,Skewed beta
50,2,318.6805019378662,0.96,0.94,100,Skewed beta,Normal beta,0.9728331521043364,0.9871108063540268,Skewed beta
50,3,312.2410669326782,0.98,0.98,100,Skewed beta,Normal beta,0.973555218177425,0.984188989866733,Skewed beta
50,4,329.2532157897949,0.97,0.9,100,Skewed beta,Normal beta,0.9798808568134584,0.9910029914066182,Skewed beta
50,5,328.28510308265686,0.97,1,100,Skewed beta,Normal beta,0.9813580323465696,0.9906983211051608,Skewed beta
50,6,324.3598909378052,0.96,0.84,100,Skewed beta,Normal beta,0.9751395064423928,0.9884899883380872,Skewed beta
50,7,315.2642831802368,0.99,0.98,100,Skewed beta,Normal beta,0.9696715396250152,0.981046331361302,Skewed beta
50,8,310.0944838523865,0.98,0.9,100,Skewed beta,Normal beta,0.9805607073391754,0.9794071069239252,Skewed beta
50,9,309.29601192474365,0.91,1,100,Skewed beta,Normal beta,0.9621151242018342,0.9899556122656554,Skewed beta
50,10,308.655522108078,0.97,1,100,Skewed beta,Normal beta,0.9697834278186952,0.9900413044726444,Skewed beta
600,1,697.8837099075317,0.82,0.946,100,Skewed beta,Normal beta,0.9891190881619172,0.9380351666807258,Skewed beta
600,2,690.1838409900665,0.9,0.944,100,Skewed beta,Normal beta,0.9826808290980994,0.9237926406818332,Skewed beta
600,3,713.3489639759064,0.99,0.9436,100,Skewed beta,Normal beta,0.9893546257479756,0.9343976089670484,Skewed beta
600,4,733.927356004715,0.96,0.9614,100,Skewed beta,Normal beta,0.9900041949188518,0.9328552401759184,Skewed beta
600,5,691.1511120796204,0.97,0.9494,100,Skewed beta,Normal beta,0.9844273451005532,0.926337736025786,Skewed beta
600,6,706.06405210495,0.95,0.944,100,Skewed beta,Normal beta,0.9856537891567142,0.9190259351984928,Skewed beta
600,7,690.9097199440002,0.97,0.9503,100,Skewed beta,Normal beta,0.9895549554798232,0.9363140997540086,Skewed beta
600,8,832.0783751010895,0.82,0.9602,100,Skewed beta,Normal beta,0.9777767792623282,0.9330287861087608,Skewed beta
600,9,689.9493777751923,0.97,0.9517,100,Skewed beta,Normal beta,0.9842443960888804,0.938057194787237,Skewed beta
600,10,920.2260811328888,0.93,0.9463,100,Skewed beta,Normal beta,0.9803098183708552,0.926308110050678,Skewed beta
300,1,679.093633890152,1,0.9433,100,Skewed beta,Normal beta,0.9893139845685232,0.9581875506383576,Skewed beta
300,2,649.5686349868774,0.97,0.9505,100,Skewed beta,Normal beta,0.97928286057642,0.958570807736144,Skewed beta
300,3,677.5068230628967,0.99,0.9417,100,Skewed beta,Normal beta,0.9883845026386684,0.9644222705227988,Skewed beta
300,4,661.943372964859,0.95,0.9472,100,Skewed beta,Normal beta,0.981489695349991,0.9624177127888532,Skewed beta
300,5,653.5003299713135,0.77,0.9643,100,Skewed beta,Normal beta,0.9794432049736,0.960436948051146,Skewed beta
300,6,645.5161001682281,0.98,0.9676,100,Skewed beta,Normal beta,0.9822660674827122,0.966897713579908,Skewed beta
300,7,745.8140499591827,0.99,0.9438,100,Skewed beta,Normal beta,0.989007136863052,0.9584887747585774,Skewed beta
300,8,636.9142601490021,0.95,0.9446,100,Skewed beta,Normal beta,0.9806050325432548,0.95819547465105,Skewed beta
300,9,674.0234110355377,0.99,0.9491,100,Skewed beta,Normal beta,0.986634772869243,0.9599286149506912,Skewed beta
300,10,667.5505321025848,0.97,0.9391,100,Skewed beta,Normal beta,0.9790172329296984,0.9659695015593404,Skewed beta
20,1,135.89521098136902,0.95,0.65,100,Both skewed,Both normal,0.9048766590744468,0.9715803116294488,Both skewed
20,2,168.99750900268555,0.93,0.95,100,Both skewed,Both normal,0.9424358885124146,0.975241950637568,Both skewed
20,3,146.8844931125641,0.97,1,100,Both skewed,Both normal,0.933038035334488,0.9801979074170242,Both skewed
20,4,143.09598088264465,0.96,1,100,Both skewed,Both normal,0.9449436423197424,0.9911841241830393,Both skewed
20,5,166.73427605628967,0.94,1,100,Both skewed,Both normal,0.9247937694405072,0.9904205382096746,Both skewed
20,6,133.71104788780212,0.95,0.9,100,Both skewed,Both normal,0.9260221345949368,0.9702347704604826,Both skewed
20,7,190.33671593666077,0.97,1,100,Both skewed,Both normal,0.9383532814282436,0.9914426771263992,Both skewed
20,8,146.45911312103271,0.91,1,100,Both skewed,Both normal,0.9219996178629526,0.9747762997831352,Both skewed
20,9,130.4042239189148,0.93,0.9,100,Both skewed,Both normal,0.9133448558449072,0.9831661013432592,Both skewed
20,10,145.97381401062012,0.97,1,100,Both skewed,Both normal,0.9207119943778695,0.9933841903905832,Both skewed
50,1,304.2522370815277,1,0.98,100,Both skewed,Both normal,0.9745905268756396,0.9852650493154086,Both skewed
50,2,321.11628699302673,0.94,1,100,Both skewed,Both normal,0.9699960607049372,0.9941521023752188,Both skewed
50,3,327.2233581542969,0.85,1,100,Both skewed,Both normal,0.972775854621577,0.9797513753497352,Both skewed
50,4,313.199049949646,0.98,0.94,100,Both skewed,Both normal,0.9687668001517904,0.9751742189910476,Both skewed
50,5,315.21509099006653,0.99,1,100,Both skewed,Both normal,0.9819524685371386,0.9835135917538842,Both skewed
50,6,327.6868028640747,0.96,0.82,100,Both skewed,Both normal,0.9673358079036536,0.9874247231137356,Both skewed
50,7,313.0957360267639,0.99,0.98,100,Both skewed,Both normal,0.9812012903969688,0.984909795406421,Both skewed
50,8,315.111585855484,0.94,0.98,100,Both skewed,Both normal,0.975461830949165,0.9880493479782714,Both skewed
50,9,324.2849130630493,0.93,1,100,Both skewed,Both normal,0.97698135072305,0.9913267662435764,Both skewed
50,10,324.6747670173645,0.91,0.98,100,Both skewed,Both normal,0.9719066102290156,0.9857784920328728,Both skewed
600,1,694.9629271030426,1,0.9725,100,Both skewed,Both normal,0.9878309999984444,0.9380131880405524,Both skewed
600,2,672.4602060317993,0.87,0.9484,100,Both skewed,Both normal,0.9798497905636356,0.9195025659980354,Both skewed
600,3,727.1065521240234,0.96,0.9542,100,Both skewed,Both normal,0.9845751865283596,0.9341699654902452,Both skewed
600,4,746.8841090202332,1,0.9558,100,Both skewed,Both normal,0.9832030587629454,0.9173935485911078,Both skewed
600,5,719.6496751308441,0.99,0.9565,100,Both skewed,Both normal,0.985517682437852,0.93444260448915,Both skewed
600,6,695.1148490905762,0.97,0.9566,100,Both skewed,Both normal,0.9857993780271698,0.9302621427668124,Both skewed
600,7,674.0342180728912,0.92,0.9524,100,Both skewed,Both normal,0.9825813269442222,0.9299534905314896,Both skewed
600,8,716.6564869880676,0.99,0.9492,100,Both skewed,Both normal,0.9892358439155696,0.9243496648702992,Both skewed
600,9,728.710550069809,0.99,0.9409,100,Both skewed,Both normal,0.9890301072543756,0.9132820300664652,Both skewed
600,10,708.0735731124878,0.97,0.9456,100,Both skewed,Both normal,0.9876685558338631,0.931637582443747,Both skewed
300,1,711.02783203125,0.99,0.9149,100,Both skewed,Both normal,0.9879828306358928,0.943682911697031,Both skewed
300,2,662.6045570373535,0.99,0.9562,100,Both skewed,Both normal,0.985135162610718,0.9608013551231194,Both skewed
300,3,652.1614987850189,0.97,0.9577,100,Both skewed,Both normal,0.9820180757368132,0.9642140570401596,Both skewed
300,4,676.4547109603882,0.96,0.9404,100,Both skewed,Both normal,0.9839944852111668,0.953591485936398,Both skewed
300,5,657.235631942749,0.92,0.9692,100,Both skewed,Both normal,0.9791977437211772,0.958874451584047,Both skewed
300,6,643.4907450675964,0.9,0.9618,100,Both skewed,Both normal,0.9834340207964876,0.9661802894609658,Both skewed
300,7,661.3749308586121,0.98,0.9433,100,Both skewed,Both normal,0.9850659715928866,0.9620709583821604,Both skewed
300,8,668.3755419254303,0.97,0.9677,100,Both skewed,Both normal,0.9856892636103236,0.963452640498742,Both skewed
300,9,675.0546419620514,0.96,0.9385,100,Both skewed,Both normal,0.9859868323086628,0.95664275552623,Both skewed
300,10,658.1468358039856,0.98,0.9669,100,Both skewed,Both normal,0.9868406091058266,0.956140137787687,Both skewed
20,1,137.9184238910675,0.95,1,100,Mixture,Mixed normal/skew,0.93810201670074,0.9785501534485876,Mixture
20,2,169.61954188346863,0.96,1,100,Mixture,Mixed normal/skew,0.9485042497517748,0.9924475038662056,Mixture
20,3,162.69551301002502,0.97,0.95,100,Mixture,Mixed normal/skew,0.9493571002053364,0.984373856900178,Mixture
20,4,165.83370208740234,0.95,1,100,Mixture,Mixed normal/skew,0.9480584560759874,0.9885327248258842,Mixture
20,5,164.84158205986023,0.97,1,100,Mixture,Mixed normal/skew,0.9598403796222472,0.9872103733281404,Mixture
20,6,159.6696419715881,0.95,1,100,Mixture,Mixed normal/skew,0.9299731521735216,0.9899161729943728,Mixture
20,7,187.43569993972775,0.94,0.85,100,Mixture,Mixed normal/skew,0.944359067999446,0.990555147030816,Mixture
20,8,144.01419019699097,0.92,0.95,100,Mixture,Mixed normal/skew,0.9207038088713688,0.9799178107375554,Mixture
20,9,143.69865608215332,0.93,1,100,Mixture,Mixed normal/skew,0.9280627174844576,0.9900420565550032,Mixture
20,10,151.24833297729492,0.98,1,100,Mixture,Mixed normal/skew,0.9451947842646942,0.9875804260471772,Mixture
50,1,331.1537940502167,0.91,0.96,100,Mixture,Mixed normal/skew,0.9770016692129928,0.9856677434359178,Mixture
50,2,344.8743679523468,0.96,1,100,Mixture,Mixed normal/skew,0.9723379159653668,0.9871512984081726,Mixture
50,3,326.5542769432068,0.97,0.92,100,Mixture,Mixed normal/skew,0.974033490779193,0.9821796790001154,Mixture
50,4,321.7618100643158,0.96,1,100,Mixture,Mixed normal/skew,0.9731751381302928,0.9880838327758464,Mixture
50,5,322.28147888183594,0.97,0.9,100,Mixture,Mixed normal/skew,0.9733550430400868,0.983238252988772,Mixture
50,6,313.3188650608063,0.99,1,100,Mixture,Mixed normal/skew,0.9794667792054524,0.9895296174065372,Mixture
50,7,306.6069178581238,0.96,1,100,Mixture,Mixed normal/skew,0.9698004593518572,0.9894115469611506,Mixture
50,8,323.30679392814636,0.95,1,100,Mixture,Mixed normal/skew,0.9708270252354548,0.9888387249642012,Mixture
50,9,342.244047164917,0.98,0.96,100,Mixture,Mixed normal/skew,0.969301950264908,0.9867192095967894,Mixture
50,10,325.3929591178894,0.98,0.92,100,Mixture,Mixed normal/skew,0.9766895315039008,0.9890560611500226,Mixture
600,1,762.4625210762024,0.97,0.9412,100,Mixture,Mixed normal/skew,0.9866089873232328,0.929169364981745,Mixture
600,2,775.5130610466003,0.96,0.9538,100,Mixture,Mixed normal/skew,0.9849195965078996,0.9234141230513462,Mixture
600,3,728.8255169391632,0.9,0.9563,100,Mixture,Mixed normal/skew,0.9855201031711674,0.9281557405912628,Mixture
600,4,723.3510720729828,0.87,0.9596,100,Mixture,Mixed normal/skew,0.9880248179190364,0.9420061285586948,Mixture
600,5,710.1522371768951,0.96,0.939,100,Mixture,Mixed normal/skew,0.9887996742744082,0.9335913786194324,Mixture
600,6,705.5167810916901,0.87,0.9503,100,Mixture,Mixed normal/skew,0.9869879377069736,0.927461039861754,Mixture
600,7,678.602786064148,0.95,0.9537,100,Mixture,Mixed normal/skew,0.9794908442907116,0.9321081838165538,Mixture
600,8,718.9880828857422,0.96,0.9328,100,Mixture,Mixed normal/skew,0.9889518504925952,0.92403908763471,Mixture
600,9,769.3203511238098,0.98,0.9538,100,Mixture,Mixed normal/skew,0.9897068992454742,0.931755051910086,Mixture
600,10,692.5466828346252,0.92,0.9546,100,Mixture,Mixed normal/skew,0.9785012756309784,0.9306783297541776,Mixture
300,1,711.143620967865,0.98,0.963,100,Mixture,Mixed normal/skew,0.9852771081118756,0.9599198530271226,Mixture
300,2,683.2257349491119,0.98,0.943,100,Mixture,Mixed normal/skew,0.9772544652981788,0.94897757554154,Mixture
300,3,679.731173992157,0.98,0.9537,100,Mixture,Mixed normal/skew,0.9842017195221948,0.9611830867713328,Mixture
300,4,664.7979309558868,0.97,0.9415,100,Mixture,Mixed normal/skew,0.9801752741921492,0.9578332343144282,Mixture
300,5,644.8605909347534,0.95,0.9331,100,Mixture,Mixed normal/skew,0.9840439110394188,0.9427678323224598,Mixture
300,6,674.5563640594482,0.92,0.9277,100,Mixture,Mixed normal/skew,0.9863408852240504,0.9572372091714731,Mixture
300,7,683.0656430721283,0.98,0.9145,100,Mixture,Mixed normal/skew,0.9905724480427992,0.9577399658459076,Mixture
300,8,677.5292689800262,0.94,0.9623,100,Mixture,Mixed normal/skew,0.9775018808567884,0.958310741470124,Mixture
300,9,666.8344180583954,0.73,0.9397,100,Mixture,Mixed normal/skew,0.9898892124556448,0.9678590138087266,Mixture
300,10,664.1708240509033,0.97,0.9572,100,Mixture,Mixed normal/skew,0.9838233238627284,0.9551400009906764,Mixture
